title,link,original,sale,discount,currency,date,time
borderlands 3,https://store.steampowered.com/app/397540/Borderlands_3/?snr=1_7_7_2300_150_1,59.99,29.99,50,USD,2020-04-25,14:50:16.489544
xcom® 2,https://store.steampowered.com/app/268500/XCOM_2/?snr=1_7_7_2300_150_1,59.99,14.99,75,USD,2020-04-25,14:50:16.489544
xcom®: chimera squad,https://store.steampowered.com/app/882100/XCOM_Chimera_Squad/?snr=1_7_7_2300_150_1,19.99,9.99,50,USD,2020-04-25,14:50:16.490543
final fantasy xii the zodiac age,https://store.steampowered.com/app/595520/FINAL_FANTASY_XII_THE_ZODIAC_AGE/?snr=1_7_7_2300_150_1,49.99,24.99,50,USD,2020-04-25,14:50:16.490543
disco elysium,https://store.steampowered.com/app/632470/Disco_Elysium/?snr=1_7_7_2300_150_1,39.99,29.99,25,USD,2020-04-25,14:50:16.491543
project winter,https://store.steampowered.com/app/774861/Project_Winter/?snr=1_7_7_2300_150_1,19.99,6.99,65,USD,2020-04-25,14:50:16.491543
playerunknown's battlegrounds,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/?snr=1_7_7_2300_150_1,29.99,14.99,50,USD,2020-04-25,14:50:16.492532
il-2 sturmovik: battle of stalingrad,https://store.steampowered.com/app/307960/IL2_Sturmovik_Battle_of_Stalingrad/?snr=1_7_7_2300_150_1,49.99,12.49,75,USD,2020-04-25,14:50:16.493542
borderlands 2,https://store.steampowered.com/app/49520/Borderlands_2/?snr=1_7_7_2300_150_1,19.99,4.99,75,USD,2020-04-25,14:50:16.493542
iratus: lord of the dead,https://store.steampowered.com/app/807120/Iratus_Lord_of_the_Dead/?snr=1_7_7_2300_150_1,24.99,16.49,34,USD,2020-04-25,14:50:16.493542
northgard,https://store.steampowered.com/app/466560/Northgard/?snr=1_7_7_2300_150_1,29.99,14.99,50,USD,2020-04-25,14:50:16.494541
the stanley parable,https://store.steampowered.com/app/221910/The_Stanley_Parable/?snr=1_7_7_2300_150_1,14.99,2.25,85,USD,2020-04-25,14:50:16.494541
marvel vs. capcom: infinite,https://store.steampowered.com/app/493840/Marvel_vs_Capcom_Infinite/?snr=1_7_7_2300_150_1,39.99,10.00,75,USD,2020-04-25,14:50:16.495540
frostpunk,https://store.steampowered.com/app/323190/Frostpunk/?snr=1_7_7_2300_150_1,29.99,12.00,60,USD,2020-04-25,14:50:16.495540
cloudpunk,https://store.steampowered.com/app/746850/Cloudpunk/?snr=1_7_7_2300_150_1,19.99,17.99,10,USD,2020-04-25,14:50:16.496547
barotrauma,https://store.steampowered.com/app/602960/Barotrauma/?snr=1_7_7_2300_150_1,29.99,17.99,40,USD,2020-04-25,14:50:16.496547
rocksmith® 2014 edition - remastered,https://store.steampowered.com/app/221680/Rocksmith_2014_Edition__Remastered/?snr=1_7_7_2300_150_1,29.99,8.99,70,USD,2020-04-25,14:50:16.497540
post scriptum,https://store.steampowered.com/app/736220/Post_Scriptum/?snr=1_7_7_2300_150_1,29.99,22.49,25,USD,2020-04-25,14:50:16.497540
sunless skies,https://store.steampowered.com/app/596970/SUNLESS_SKIES/?snr=1_7_7_2300_150_1,24.99,12.49,50,USD,2020-04-25,14:50:16.498539
112 operator,https://store.steampowered.com/app/793460/112_Operator/?snr=1_7_7_2300_150_1,24.99,21.24,15,USD,2020-04-25,14:50:16.498539
ultimate marvel vs. capcom 3,https://store.steampowered.com/app/357190/ULTIMATE_MARVEL_VS_CAPCOM_3/?snr=1_7_7_2300_150_1,24.99,7.50,70,USD,2020-04-25,14:50:16.499539
troubleshooter: abandoned children,https://store.steampowered.com/app/470310/TROUBLESHOOTER_Abandoned_Children/?snr=1_7_7_2300_150_1,24.99,19.99,20,USD,2020-04-25,14:50:16.499539
borderlands: the pre-sequel,https://store.steampowered.com/app/261640/Borderlands_The_PreSequel/?snr=1_7_7_2300_150_1,39.99,11.99,70,USD,2020-04-25,14:50:16.500538
xcom: enemy unknown,https://store.steampowered.com/app/200510/XCOM_Enemy_Unknown/?snr=1_7_7_2300_150_1,29.99,7.49,75,USD,2020-04-25,14:50:16.500538
what remains of edith finch,https://store.steampowered.com/app/501300/What_Remains_of_Edith_Finch/?snr=1_7_7_2300_150_1,19.99,7.99,60,USD,2020-04-25,14:50:16.501538
shadow tactics: blades of the shogun,https://store.steampowered.com/app/418240/Shadow_Tactics_Blades_of_the_Shogun/?snr=1_7_7_2300_150_2,39.99,9.99,75,USD,2020-04-25,14:50:17.757186
battle brothers,https://store.steampowered.com/app/365360/Battle_Brothers/?snr=1_7_7_2300_150_2,29.99,14.99,50,USD,2020-04-25,14:50:17.758186
borderlands game of the year,https://store.steampowered.com/app/8980/Borderlands_Game_of_the_Year/?snr=1_7_7_2300_150_2,29.99,9.90,67,USD,2020-04-25,14:50:17.759185
dragon marked for death,https://store.steampowered.com/app/1149440/Dragon_Marked_For_Death/?snr=1_7_7_2300_150_2,39.99,31.99,20,USD,2020-04-25,14:50:17.760185
hyperdimension neptunia re;birth1,https://store.steampowered.com/app/282900/Hyperdimension_Neptunia_ReBirth1/?snr=1_7_7_2300_150_2,14.99,5.99,60,USD,2020-04-25,14:50:17.760185
super neptunia rpg,https://store.steampowered.com/app/1016960/Super_Neptunia_RPG/?snr=1_7_7_2300_150_2,49.99,19.99,60,USD,2020-04-25,14:50:17.761183
borderlands 2 game of the year,https://store.steampowered.com/sub/32848/?snr=1_7_7_2300_150_2,39.99,8.79,78,USD,2020-04-25,14:50:17.762183
monster prom,https://store.steampowered.com/app/743450/Monster_Prom/?snr=1_7_7_2300_150_2,11.99,4.79,60,USD,2020-04-25,14:50:17.763182
street fighter v,https://store.steampowered.com/app/310950/Street_Fighter_V/?snr=1_7_7_2300_150_2,19.99,7.99,60,USD,2020-04-25,14:50:17.763182
unrailed!,https://store.steampowered.com/app/1016920/Unrailed/?snr=1_7_7_2300_150_2,16.99,12.74,25,USD,2020-04-25,14:50:17.764182
sunless sea,https://store.steampowered.com/app/304650/SUNLESS_SEA/?snr=1_7_7_2300_150_2,18.99,6.45,66,USD,2020-04-25,14:50:17.765181
trine 4: the nightmare prince,https://store.steampowered.com/app/690640/Trine_4_The_Nightmare_Prince/?snr=1_7_7_2300_150_2,29.99,11.99,60,USD,2020-04-25,14:50:17.766181
hyperdimension neptunia re;birth2: sisters generation,https://store.steampowered.com/app/351710/Hyperdimension_Neptunia_ReBirth2_Sisters_Generation/?snr=1_7_7_2300_150_2,14.99,5.99,60,USD,2020-04-25,14:50:17.766181
ashen,https://store.steampowered.com/app/649950/Ashen/?snr=1_7_7_2300_150_2,39.99,23.99,40,USD,2020-04-25,14:50:17.767180
hyperdimension neptunia re;birth3 v generation,https://store.steampowered.com/app/353270/Hyperdimension_Neptunia_ReBirth3_V_Generation/?snr=1_7_7_2300_150_2,14.99,5.99,60,USD,2020-04-25,14:50:17.768180
sayonara wild hearts,https://store.steampowered.com/app/1122720/Sayonara_Wild_Hearts/?snr=1_7_7_2300_150_2,12.99,9.74,25,USD,2020-04-25,14:50:17.768180
donut county,https://store.steampowered.com/app/702670/Donut_County/?snr=1_7_7_2300_150_2,12.99,6.49,50,USD,2020-04-25,14:50:17.769179
megadimension neptunia vii,https://store.steampowered.com/app/460120/Megadimension_Neptunia_VII/?snr=1_7_7_2300_150_2,19.99,9.99,50,USD,2020-04-25,14:50:17.770178
witch it,https://store.steampowered.com/app/559650/Witch_It/?snr=1_7_7_2300_150_2,14.99,7.49,50,USD,2020-04-25,14:50:17.770178
fell seal: arbiter's mark,https://store.steampowered.com/app/699170/Fell_Seal_Arbiters_Mark/?snr=1_7_7_2300_150_2,29.99,10.19,66,USD,2020-04-25,14:50:17.771178
megadimension neptunia viir,https://store.steampowered.com/app/774511/Megadimension_Neptunia_VIIR/?snr=1_7_7_2300_150_2,29.99,11.99,60,USD,2020-04-25,14:50:17.772177
hyper light drifter,https://store.steampowered.com/app/257850/Hyper_Light_Drifter/?snr=1_7_7_2300_150_2,19.99,9.99,50,USD,2020-04-25,14:50:17.773177
fishing: barents sea,https://store.steampowered.com/app/501080/Fishing_Barents_Sea/?snr=1_7_7_2300_150_2,24.99,12.49,50,USD,2020-04-25,14:50:17.773177
cyberdimension neptunia: 4 goddesses online,https://store.steampowered.com/app/632350/Cyberdimension_Neptunia_4_Goddesses_Online/?snr=1_7_7_2300_150_2,29.99,11.99,60,USD,2020-04-25,14:50:17.774176
night in the woods,https://store.steampowered.com/app/481510/Night_in_the_Woods/?snr=1_7_7_2300_150_2,19.99,15.99,20,USD,2020-04-25,14:50:17.775186
borderlands 2 vr,https://store.steampowered.com/app/991260/Borderlands_2_VR/?snr=1_7_7_2300_150_3,49.99,24.99,50,USD,2020-04-25,14:50:19.951900
eastshade,https://store.steampowered.com/app/715560/Eastshade/?snr=1_7_7_2300_150_3,24.99,12.49,50,USD,2020-04-25,14:50:19.952899
warhammer underworlds: online,https://store.steampowered.com/app/1022310/Warhammer_Underworlds_Online/?snr=1_7_7_2300_150_3,29.99,23.99,20,USD,2020-04-25,14:50:19.952899
yes\, your grace,https://store.steampowered.com/app/1115690/Yes_Your_Grace/?snr=1_7_7_2300_150_3,19.99,17.99,10,USD,2020-04-25,14:50:19.953899
cooking simulator,https://store.steampowered.com/app/641320/Cooking_Simulator/?snr=1_7_7_2300_150_3,19.99,13.99,30,USD,2020-04-25,14:50:19.953899
kentucky route zero: pc edition,https://store.steampowered.com/app/231200/Kentucky_Route_Zero_PC_Edition/?snr=1_7_7_2300_150_3,24.99,18.74,25,USD,2020-04-25,14:50:19.954898
kingdom under fire: the crusaders,https://store.steampowered.com/app/1121420/Kingdom_Under_Fire_The_Crusaders/?snr=1_7_7_2300_150_3,19.99,13.99,30,USD,2020-04-25,14:50:19.954898
harvest moon: light of hope special edition,https://store.steampowered.com/app/585900/Harvest_Moon_Light_of_Hope_Special_Edition/?snr=1_7_7_2300_150_3,19.99,9.99,50,USD,2020-04-25,14:50:19.955897
spongebob squarepants: battle for bikini bottom - rehydrated,https://store.steampowered.com/app/969990/SpongeBob_SquarePants_Battle_for_Bikini_Bottom__Rehydrated/?snr=1_7_7_2300_150_3,29.99,26.99,10,USD,2020-04-25,14:50:19.955897
ride 3,https://store.steampowered.com/app/759740/RIDE_3/?snr=1_7_7_2300_150_3,49.99,14.99,70,USD,2020-04-25,14:50:19.956896
far: lone sails,https://store.steampowered.com/app/609320/FAR_Lone_Sails/?snr=1_7_7_2300_150_3,14.99,8.99,40,USD,2020-04-25,14:50:19.956896
gorogoa,https://store.steampowered.com/app/557600/Gorogoa/?snr=1_7_7_2300_150_3,14.99,7.49,50,USD,2020-04-25,14:50:19.957896
telling lies,https://store.steampowered.com/app/762830/Telling_Lies/?snr=1_7_7_2300_150_3,19.99,11.99,40,USD,2020-04-25,14:50:19.957896
death and taxes,https://store.steampowered.com/app/1166290/Death_and_Taxes/?snr=1_7_7_2300_150_3,12.99,9.74,25,USD,2020-04-25,14:50:19.958893
hypnospace outlaw,https://store.steampowered.com/app/844590/Hypnospace_Outlaw/?snr=1_7_7_2300_150_3,19.99,14.99,25,USD,2020-04-25,14:50:19.959887
heaven's vault,https://store.steampowered.com/app/774201/Heavens_Vault/?snr=1_7_7_2300_150_3,24.99,14.99,40,USD,2020-04-25,14:50:19.959887
911 operator,https://store.steampowered.com/app/503560/911_Operator/?snr=1_7_7_2300_150_3,14.99,1.49,90,USD,2020-04-25,14:50:19.960894
swords of gurrah,https://store.steampowered.com/app/833090/Swords_of_Gurrah/?snr=1_7_7_2300_150_3,19.99,17.99,10,USD,2020-04-25,14:50:19.961894
unheard,https://store.steampowered.com/app/942970/Unheard/?snr=1_7_7_2300_150_3,6.99,4.19,40,USD,2020-04-25,14:50:19.961894
chaos on deponia,https://store.steampowered.com/app/220740/Chaos_on_Deponia/?snr=1_7_7_2300_150_3,19.99,1.99,90,USD,2020-04-25,14:50:19.962894
cryofall,https://store.steampowered.com/app/829590/CryoFall/?snr=1_7_7_2300_150_3,19.99,4.99,75,USD,2020-04-25,14:50:19.962894
nations at war digital,https://store.steampowered.com/app/1226000/Nations_At_War_Digital/?snr=1_7_7_2300_150_3,4.99,2.99,40,USD,2020-04-25,14:50:19.963893
ken follett's the pillars of the earth,https://store.steampowered.com/app/234270/Ken_Folletts_The_Pillars_of_the_Earth/?snr=1_7_7_2300_150_3,29.99,5.99,80,USD,2020-04-25,14:50:19.963893
rocksmith™,https://store.steampowered.com/app/205190/Rocksmith/?snr=1_7_7_2300_150_3,29.99,8.99,70,USD,2020-04-25,14:50:19.964892
beholder 2,https://store.steampowered.com/app/761620/Beholder_2/?snr=1_7_7_2300_150_3,14.99,5.24,65,USD,2020-04-25,14:50:19.964892
tangle tower,https://store.steampowered.com/app/359510/Tangle_Tower/?snr=1_7_7_2300_150_4,19.99,14.99,25,USD,2020-04-25,14:50:21.800055
abzu,https://store.steampowered.com/app/384190/ABZU/?snr=1_7_7_2300_150_4,19.99,9.99,50,USD,2020-04-25,14:50:21.800055
red faction®: armageddon™,https://store.steampowered.com/app/55110/Red_Faction_Armageddon/?snr=1_7_7_2300_150_4,89.99,17.99,80,USD,2020-04-25,14:50:21.801055
flower,https://store.steampowered.com/app/966330/Flower/?snr=1_7_7_2300_150_4,6.99,2.44,65,USD,2020-04-25,14:50:21.801055
do not feed the monkeys,https://store.steampowered.com/app/658850/Do_Not_Feed_the_Monkeys/?snr=1_7_7_2300_150_4,11.99,4.19,65,USD,2020-04-25,14:50:21.802054
the daedalic armageddon bundle,https://store.steampowered.com/sub/55062/?snr=1_7_7_2300_150_4,129.99,12.99,90,USD,2020-04-25,14:50:21.802054
a short hike,https://store.steampowered.com/app/1055540/A_Short_Hike/?snr=1_7_7_2300_150_4,7.99,5.99,25,USD,2020-04-25,14:50:21.803053
where the water tastes like wine,https://store.steampowered.com/app/447120/Where_the_Water_Tastes_Like_Wine/?snr=1_7_7_2300_150_4,19.99,5.00,75,USD,2020-04-25,14:50:21.803053
